Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
1,THsF3Hb4Nw,Smart Mouse,Smart Mouse by Farmer-Ortiz is a waterproof; lightweight; portable; premium product for customers shopping in Kids' Clothing.,Doyle-Mcfarland,Kids' Clothing,Dutch
2,Qp36MbWq66,Portable Heater,Portable Heater by Woods-Kane is a rechargeable; premium; compact product for customers shopping in Men's Clothing.,Hoffman LLC,Men's Clothing,Portuguese
3,Wzsztpgvcw,Smart Kettle Brush Fan Smart Lite,"Smart Kettle Brush Fan Smart Lite by Chang, Hoover and Shaffer is a eco-friendly; compact; portable product for customers shopping in Smartphones.",Burnett PLC,Smartphones,Spanish
4,NTj5SQfhaN,Ultra Blender Scale Wireless Smart Premium,"Ultra Blender Scale Wireless Smart Premium by Munoz, Flores and Bowman is a eco-friendly; wireless; rechargeable; compact product for customers shopping in Men's Clothing.","Daugherty, Owens and Garrison",Men's Clothing,Italian
5,IpnN3NeUj6,Ultra Watch,Ultra Watch by Thompson PLC is a eco-friendly; rechargeable product for customers shopping in Books & Stationery.,"Gates, Valenzuela and Gonzales",Books & Stationery,Portuguese
6,GkdHziodiQ,Portable Powerbank Scooter,"Portable Powerbank Scooter by Nicholson, Grant and Sloan is a premium; wireless; rechargeable; compact product for customers shopping in Women's Clothing.",Garcia and Sons,Women's Clothing,French
7,7Yzzvfculi,Ultra Speaker Powerbank Camera,"Ultra Speaker Powerbank Camera by Price, Aguilar and James is a premium; waterproof; wireless product for customers shopping in Smartphones.","Hayes, Huffman and Salazar",Smartphones,Portuguese
8,fEU3dMsGzK,Clean Treadmill,Clean Treadmill by Farley LLC is a rechargeable; eco-friendly product for customers shopping in Sports & Outdoors.,"Hogan, Copeland and Vang",Sports & Outdoors,Portuguese
9,nIPpXmD4HE,Fast Cooker Cooler Automatic 360,Fast Cooker Cooler Automatic 360 by Cook-Melton is a compact; wireless; portable; lightweight product for customers shopping in Smartphones.,Larsen Group,Smartphones,French
10,GISNw6UfNl,Rechargeable Lamp Freezer Automatic Edge Touch,Rechargeable Lamp Freezer Automatic Edge Touch by Marquez-Dudley is a lightweight; portable; eco-friendly product for customers shopping in Skincare.,"Cantrell, Prince and Stark",Skincare,Dutch
11,6NTDssBzaw,Advanced Grill Charger Headphones Pro Silent Edge,Advanced Grill Charger Headphones Pro Silent Edge by Clark-Pennington is a lightweight; eco-friendly product for customers shopping in Kitchen Appliances.,"Reed, Odonnell and Randolph",Kitchen Appliances,Portuguese
12,LiAYvJowJR,Premium Microphone Clock Edge Silent,Premium Microphone Clock Edge Silent by Mendoza-Frank is a portable; eco-friendly product for customers shopping in Cameras & Accessories.,Craig Ltd,Cameras & Accessories,Italian
13,2wDapLYXTO,Eco Thermostat Trimmer Mini 360 Compact,"Eco Thermostat Trimmer Mini 360 Compact by Owen, Lester and Fuller is a rechargeable; eco-friendly product for customers shopping in Smartphones.",Barr-Mendoza,Smartphones,Spanish
14,vvpOFhFLDg,Digital Lock Lamp,Digital Lock Lamp by Deleon Ltd is a premium; waterproof; wireless product for customers shopping in Beauty & Personal Care.,Dyer-Browning,Beauty & Personal Care,Italian
15,QBdeJ6bixI,Projector Oven Thermostat,"Projector Oven Thermostat by Friedman, Schwartz and Leach is a wireless; compact; rechargeable; waterproof product for customers shopping in Grooming Tools.","Howe, Weiss and Pace",Grooming Tools,Dutch
16,2fAEt3OiuJ,Clean Lock Thermostat,Clean Lock Thermostat by Powell Inc is a eco-friendly; lightweight; rechargeable; waterproof product for customers shopping in Women's Clothing.,Barton and Sons,Women's Clothing,Dutch
17,1YYM8D7OsR,Ultra Light X Compact,Ultra Light X Compact by Cherry-Rojas is a rechargeable; premium; waterproof product for customers shopping in Books & Stationery.,Krause Group,Books & Stationery,Spanish
18,kAU5Vw7ANz,Mini Radio,"Mini Radio by Singleton, Oconnell and Gray is a compact; eco-friendly; wireless; waterproof product for customers shopping in Fitness Equipment.",Garcia Group,Fitness Equipment,Italian
19,JCamEUWOB0,Router,Router by Johnson-Davila is a waterproof; rechargeable; eco-friendly; premium product for customers shopping in Team Sports.,Henson Ltd,Team Sports,German
20,8txC2kUCWQ,Smart Fan Ultra Touch Rechargeable,Smart Fan Ultra Touch Rechargeable by Sullivan-Clements is a portable; eco-friendly; wireless; lightweight product for customers shopping in Haircare.,York and Sons,Haircare,Portuguese
21,dfGwz5qQka,Automatic Monitor Cooler Dock,"Automatic Monitor Cooler Dock by Castillo, Perry and Lindsey is a premium; waterproof; wireless; compact product for customers shopping in Laptops & Computers.",Roberson-Riddle,Laptops & Computers,Spanish
22,xL3vW9b7id,Fast Mixer Heater Edge,Fast Mixer Heater Edge by Gardner and Sons is a wireless; waterproof; rechargeable; compact product for customers shopping in Sports & Outdoors.,Austin-Atkins,Sports & Outdoors,German
23,S8j6OlhyUJ,Keyboard Phone Scanner,Keyboard Phone Scanner by Pierce-Wheeler is a eco-friendly; compact product for customers shopping in Beauty & Personal Care.,Waller-Carey,Beauty & Personal Care,Spanish
24,EnoKGGMXLJ,Wireless Powerbank Scooter,"Wireless Powerbank Scooter by Mays, Curry and Jenkins is a lightweight; waterproof; wireless; premium product for customers shopping in Camping & Hiking.",Huber PLC,Camping & Hiking,Spanish
25,rNLuuEEtlN,Toaster Scooter,"Toaster Scooter by Acosta, Brooks and Bartlett is a wireless; lightweight; rechargeable; waterproof product for customers shopping in Fitness Equipment.",Gilbert-Johnson,Fitness Equipment,German
26,QcKSIN1QfH,Pro Toaster,"Pro Toaster by Miller, Kirk and Villegas is a portable; rechargeable; eco-friendly; premium product for customers shopping in Headphones & Earbuds.",Shaw PLC,Headphones & Earbuds,Portuguese
27,9TPvOdNv4R,Pro Stove Monitor Tablet,"Pro Stove Monitor Tablet by Nicholson, Barry and Blair is a portable; premium; rechargeable; lightweight product for customers shopping in Haircare.","Wong, Shepard and Levine",Haircare,French
28,GHv4mMcGPj,Projector,Projector by Allison Inc is a waterproof; lightweight; wireless; portable product for customers shopping in Kids' Clothing.,Jenkins PLC,Kids' Clothing,Dutch
29,75eJ4kK8F6,Toaster Scanner,Toaster Scanner by Cannon-Pham is a premium; compact; portable product for customers shopping in Automotive.,Ross Group,Automotive,French
30,1QYK1klV21,Premium Treadmill Dock,Premium Treadmill Dock by Silva-Mayer is a portable; waterproof; eco-friendly; compact product for customers shopping in Grooming Tools.,"Irwin, Russell and Roberts",Grooming Tools,French
31,IO6clX8chr,Rechargeable Fan,Rechargeable Fan by Hogan-Lowery is a waterproof; portable product for customers shopping in Makeup.,Larsen PLC,Makeup,Dutch
32,EC4i2LRPL1,Smart Mixer Premium One,Smart Mixer Premium One by Schmidt Inc is a portable; rechargeable; waterproof product for customers shopping in Haircare.,"Watson, Randall and Hess",Haircare,Dutch
33,rxDxis3kc1,Smart Cooker Cooler,"Smart Cooker Cooler by Macdonald, Gross and Pierce is a rechargeable; wireless; portable; compact product for customers shopping in Automotive.",Crosby Ltd,Automotive,German
34,q4Oo3Uq7kQ,Clean Bicycle Clock Lamp One 360,Clean Bicycle Clock Lamp One 360 by Trevino-Chapman is a wireless; portable product for customers shopping in Health & Wellness.,Acosta Ltd,Health & Wellness,Portuguese
35,sXV3zuvtX6,Smart Mouse Speaker Cooler,Smart Mouse Speaker Cooler by Black-Berger is a wireless; premium; rechargeable; lightweight product for customers shopping in Fragrances.,West PLC,Fragrances,Portuguese
36,ZBbIer3zmY,Rechargeable Phone Grill Smart Pro Automatic,"Rechargeable Phone Grill Smart Pro Automatic by Harris, Perez and Cannon is a wireless; portable; lightweight; premium product for customers shopping in Laptops & Computers.",Stanley-Adams,Laptops & Computers,Portuguese
37,HAqxrk7xvl,Advanced Scale Headphones 360 Clean Eco,"Advanced Scale Headphones 360 Clean Eco by Hernandez, Bautista and Rodriguez is a waterproof; portable; premium product for customers shopping in Home Decor.","Hood, Downs and Andrews",Home Decor,German
38,gmcFI2yDia,Phone Grill,"Phone Grill by Rowe, Keller and Phelps is a eco-friendly; rechargeable; lightweight product for customers shopping in Home Decor.","Turner, Barrett and Vega",Home Decor,German
39,ehx9y97NOI,Silent Clock Brush Portable,Silent Clock Brush Portable by Mitchell-Dixon is a lightweight; eco-friendly; premium; waterproof product for customers shopping in Makeup.,Medina-Flowers,Makeup,Spanish
40,uzQnxW50hO,Portable Speakerphone Mixer Portable,"Portable Speakerphone Mixer Portable by Martin, Valdez and Ruiz is a premium; eco-friendly product for customers shopping in Smartwatches.","Dickson, Estrada and Hoffman",Smartwatches,Italian
41,2NDnIHFuRx,Mixer Bicycle Fridge,Mixer Bicycle Fridge by Rodgers-Anderson is a waterproof; compact product for customers shopping in Women's Clothing.,Vincent-Delacruz,Women's Clothing,Portuguese
