Index,Product ID,Product Title,Raw Description,Brand,Category,Target Language
1,Thsf3Hb4Nw,Smart Mouse,Smart Mouse By Farmer-Ortiz Is A Waterproof; Lightweight; Portable; Premium Product For Customers Shopping In Kids' Clothing.,Doyle-Mcfarland,Kids' Clothing,Dutch
2,Qp36Mbwq66,Portable Heater,Portable Heater By Woods-Kane Is A Rechargeable; Premium; Compact Product For Customers Shopping In Men'S Clothing.,Hoffman Llc,Men'S Clothing,Portuguese
3,Wzsztpgvcw,Smart Kettle Brush Fan Smart Lite,"Smart Kettle Brush Fan Smart Lite By Chang, Hoover And Shaffer Is A Eco-Friendly; Compact; Portable Product For Customers Shopping In Smartphones.",Burnett Plc,Smartphones,Spanish
4,Ntj5Sqfhan,Ultra Blender Scale Wireless Smart Premium,"Ultra Blender Scale Wireless Smart Premium By Munoz, Flores And Bowman Is A Eco-Friendly; Wireless; Rechargeable; Compact Product For Customers Shopping In Men'S Clothing.","Daugherty, Owens And Garrison",Men'S Clothing,Italian
5,Ipnn3Neuj6,Ultra Watch,Ultra Watch By Thompson Plc Is A Eco-Friendly; Rechargeable Product For Customers Shopping In Books & Stationery.,"Gates, Valenzuela And Gonzales",Books & Stationery,Portuguese
6,Gkdhziodiq,Portable Powerbank Scooter,"Portable Powerbank Scooter By Nicholson, Grant And Sloan Is A Premium; Wireless; Rechargeable; Compact Product For Customers Shopping In Women'S Clothing.",Garcia And Sons,Women'S Clothing,French
7,7Yzzvfculi,Ultra Speaker Powerbank Camera,"Ultra Speaker Powerbank Camera By Price, Aguilar And James Is A Premium; Waterproof; Wireless Product For Customers Shopping In Smartphones.","Hayes, Huffman And Salazar",Smartphones,Portuguese
8,Feu3Dmsgzk,Clean Treadmill,Clean Treadmill By Farley Llc Is A Rechargeable; Eco-Friendly Product For Customers Shopping In Sports & Outdoors.,"Hogan, Copeland And Vang",Sports & Outdoors,Portuguese
9,Nippxmd4He,Fast Cooker Cooler Automatic 360,Fast Cooker Cooler Automatic 360 By Cook-Melton Is A Compact; Wireless; Portable; Lightweight Product For Customers Shopping In Smartphones.,Larsen Group,Smartphones,French
10,Gisnw6Ufnl,Rechargeable Lamp Freezer Automatic Edge Touch,Rechargeable Lamp Freezer Automatic Edge Touch By Marquez-Dudley Is A Lightweight; Portable; Eco-Friendly Product For Customers Shopping In Skincare.,"Cantrell, Prince And Stark",Skincare,Dutch
11,6Ntdssbzaw,Advanced Grill Charger Headphones Pro Silent Edge,Advanced Grill Charger Headphones Pro Silent Edge By Clark-Pennington Is A Lightweight; Eco-Friendly Product For Customers Shopping In Kitchen Appliances.,"Reed, Odonnell And Randolph",Kitchen Appliances,Portuguese
12,Liayvjowjr,Premium Microphone Clock Edge Silent,Premium Microphone Clock Edge Silent By Mendoza-Frank Is A Portable; Eco-Friendly Product For Customers Shopping In Cameras & Accessories.,Craig Ltd,Cameras & Accessories,Italian
13,2Wdaplyxto,Eco Thermostat Trimmer Mini 360 Compact,"Eco Thermostat Trimmer Mini 360 Compact By Owen, Lester And Fuller Is A Rechargeable; Eco-Friendly Product For Customers Shopping In Smartphones.",Barr-Mendoza,Smartphones,Spanish
14,Vvpofhfldg,Digital Lock Lamp,Digital Lock Lamp By Deleon Ltd Is A Premium; Waterproof; Wireless Product For Customers Shopping In Beauty & Personal Care.,Dyer-Browning,Beauty & Personal Care,Italian
15,Qbdej6Bixi,Projector Oven Thermostat,"Projector Oven Thermostat By Friedman, Schwartz And Leach Is A Wireless; Compact; Rechargeable; Waterproof Product For Customers Shopping In Grooming Tools.","Howe, Weiss And Pace",Grooming Tools,Dutch
16,2Faet3Oiuj,Clean Lock Thermostat,Clean Lock Thermostat By Powell Inc Is A Eco-Friendly; Lightweight; Rechargeable; Waterproof Product For Customers Shopping In Women'S Clothing.,Barton And Sons,Women'S Clothing,Dutch
17,1Yym8D7Osr,Ultra Light X Compact,Ultra Light X Compact By Cherry-Rojas Is A Rechargeable; Premium; Waterproof Product For Customers Shopping In Books & Stationery.,Krause Group,Books & Stationery,Spanish
18,Kau5Vw7Anz,Mini Radio,"Mini Radio By Singleton, Oconnell And Gray Is A Compact; Eco-Friendly; Wireless; Waterproof Product For Customers Shopping In Fitness Equipment.",Garcia Group,Fitness Equipment,Italian
19,Jcameuwob0,Router,Router By Johnson-Davila Is A Waterproof; Rechargeable; Eco-Friendly; Premium Product For Customers Shopping In Team Sports.,Henson Ltd,Team Sports,German
20,8Txc2Kucwq,Smart Fan Ultra Touch Rechargeable,Smart Fan Ultra Touch Rechargeable By Sullivan-Clements Is A Portable; Eco-Friendly; Wireless; Lightweight Product For Customers Shopping In Haircare.,York And Sons,Haircare,Portuguese
21,Dfgwz5Qqka,Automatic Monitor Cooler Dock,"Automatic Monitor Cooler Dock By Castillo, Perry And Lindsey Is A Premium; Waterproof; Wireless; Compact Product For Customers Shopping In Laptops & Computers.",Roberson-Riddle,Laptops & Computers,Spanish
22,Xl3Vw9B7Id,Fast Mixer Heater Edge,Fast Mixer Heater Edge By Gardner And Sons Is A Wireless; Waterproof; Rechargeable; Compact Product For Customers Shopping In Sports & Outdoors.,Austin-Atkins,Sports & Outdoors,German
23,S8J6Olhyuj,Keyboard Phone Scanner,Keyboard Phone Scanner By Pierce-Wheeler Is A Eco-Friendly; Compact Product For Customers Shopping In Beauty & Personal Care.,Waller-Carey,Beauty & Personal Care,Spanish
24,Enokggmxlj,Wireless Powerbank Scooter,"Wireless Powerbank Scooter By Mays, Curry And Jenkins Is A Lightweight; Waterproof; Wireless; Premium Product For Customers Shopping In Camping & Hiking.",Huber Plc,Camping & Hiking,Spanish
25,Rnluueetln,Toaster Scooter,"Toaster Scooter By Acosta, Brooks And Bartlett Is A Wireless; Lightweight; Rechargeable; Waterproof Product For Customers Shopping In Fitness Equipment.",Gilbert-Johnson,Fitness Equipment,German
26,Qcksin1Qfh,Pro Toaster,"Pro Toaster By Miller, Kirk And Villegas Is A Portable; Rechargeable; Eco-Friendly; Premium Product For Customers Shopping In Headphones & Earbuds.",Shaw Plc,Headphones & Earbuds,Portuguese
27,9Tpvodnv4R,Pro Stove Monitor Tablet,"Pro Stove Monitor Tablet By Nicholson, Barry And Blair Is A Portable; Premium; Rechargeable; Lightweight Product For Customers Shopping In Haircare.","Wong, Shepard And Levine",Haircare,French
28,Ghv4Mmcgpj,Projector,Projector By Allison Inc Is A Waterproof; Lightweight; Wireless; Portable Product For Customers Shopping In Kids' Clothing.,Jenkins Plc,Kids' Clothing,Dutch
29,75Ej4Kk8F6,Toaster Scanner,Toaster Scanner By Cannon-Pham Is A Premium; Compact; Portable Product For Customers Shopping In Automotive.,Ross Group,Automotive,French
30,1Qyk1Klv21,Premium Treadmill Dock,Premium Treadmill Dock By Silva-Mayer Is A Portable; Waterproof; Eco-Friendly; Compact Product For Customers Shopping In Grooming Tools.,"Irwin, Russell And Roberts",Grooming Tools,French
31,Io6Clx8Chr,Rechargeable Fan,Rechargeable Fan By Hogan-Lowery Is A Waterproof; Portable Product For Customers Shopping In Makeup.,Larsen Plc,Makeup,Dutch
32,Ec4I2Lrpl1,Smart Mixer Premium One,Smart Mixer Premium One By Schmidt Inc Is A Portable; Rechargeable; Waterproof Product For Customers Shopping In Haircare.,"Watson, Randall And Hess",Haircare,Dutch
33,Rxdxis3Kc1,Smart Cooker Cooler,"Smart Cooker Cooler By Macdonald, Gross And Pierce Is A Rechargeable; Wireless; Portable; Compact Product For Customers Shopping In Automotive.",Crosby Ltd,Automotive,German
34,Q4Oo3Uq7Kq,Clean Bicycle Clock Lamp One 360,Clean Bicycle Clock Lamp One 360 By Trevino-Chapman Is A Wireless; Portable Product For Customers Shopping In Health & Wellness.,Acosta Ltd,Health & Wellness,Portuguese
35,Sxv3Zuvtx6,Smart Mouse Speaker Cooler,Smart Mouse Speaker Cooler By Black-Berger Is A Wireless; Premium; Rechargeable; Lightweight Product For Customers Shopping In Fragrances.,West Plc,Fragrances,Portuguese
36,Zbbier3Zmy,Rechargeable Phone Grill Smart Pro Automatic,"Rechargeable Phone Grill Smart Pro Automatic By Harris, Perez And Cannon Is A Wireless; Portable; Lightweight; Premium Product For Customers Shopping In Laptops & Computers.",Stanley-Adams,Laptops & Computers,Portuguese
37,Haqxrk7Xvl,Advanced Scale Headphones 360 Clean Eco,"Advanced Scale Headphones 360 Clean Eco By Hernandez, Bautista And Rodriguez Is A Waterproof; Portable; Premium Product For Customers Shopping In Home Decor.","Hood, Downs And Andrews",Home Decor,German
38,Gmcfi2Ydia,Phone Grill,"Phone Grill By Rowe, Keller And Phelps Is A Eco-Friendly; Rechargeable; Lightweight Product For Customers Shopping In Home Decor.","Turner, Barrett And Vega",Home Decor,German
